mpg,cylinders,engine,horsepower,weight,acceleration,year,origin,name
16,8,400,230,4278,9.5,73,American,pontiac grand prix
15,8,318,150,3399,11,73,American,dodge dart custom
11,8,350,180,3664,11,73,American,oldsmobile omega
20,6,198,95,3102,16.5,74,American,plymouth duster
21,6,200,nan,2875,17,74,American,ford maverick
19,6,232,100,2901,16,74,American,amc hornet
15,6,250,100,3336,17,74,American,chevrolet nova
26,4,122,80,2451,16.5,74,American,ford pinto
25,4,140,75,2542,17,74,American,chevrolet vega
16,6,250,100,3781,17,74,American,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,American,amc matador
18,6,225,105,3613,16.5,74,American,plymouth satellite sebring
16,8,302,140,4141,14,74,American,ford gran torino
13,8,350,150,4699,14.5,74,American,buick century luxus (sw)
14,8,318,150,4457,13.5,74,American,dodge coronet custom (sw)
14,8,302,140,4638,16,74,American,ford gran torino (sw)
14,8,304,150,4257,15.5,74,American,amc matador (sw)
28,4,90,75,2125,14.5,74,American,dodge colt
19,6,225,95,3264,16,75,American,plymouth valiant custom
18,6,250,105,3459,16,75,American,chevrolet nova
15,6,250,72,3432,21,75,American,mercury monarch
15,6,250,72,3158,19.5,75,American,ford maverick
16,8,400,170,4668,11.5,75,American,pontiac catalina
15,8,350,145,4440,14,75,American,chevrolet bel air
16,8,318,150,4498,14.5,75,American,plymouth grand fury
14,8,351,148,4657,13.5,75,American,ford ltd
17,6,231,110,3907,21,75,American,buick century
16,6,250,105,3897,18.5,75,American,chevroelt chevelle malibu
15,6,258,110,3730,19,75,American,amc matador
18,6,225,95,3785,19,75,American,plymouth fury
21,6,231,110,3039,15,75,American,buick skyhawk
20,8,262,110,3221,13.5,75,American,chevrolet monza 2+2
13,8,302,129,3169,12,75,American,ford mustang ii
23,4,140,83,2639,17,75,American,ford pinto
20,6,232,100,2914,16,75,American,amc gremlin
23,4,140,78,2592,18.5,75,American,pontiac astro
18,6,171,97,2984,14.5,75,American,ford pinto
19,6,232,90,3211,17,75,American,amc pacer
25,4,140,92,2572,14.9,76,American,capri ii
26,4,98,79,2255,17.7,76,American,dodge colt
17.5,8,305,140,4215,13,76,American,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,American,dodge coronet brougham
15.5,8,304,120,3962,13.9,76,American,amc matador
14.5,8,351,152,4215,12.8,76,American,ford gran torino
22,6,225,100,3233,15.4,76,American,plymouth valiant
22,6,250,105,3353,14.5,76,American,chevrolet nova
24,6,200,81,3012,17.6,76,American,ford maverick
22.5,6,232,90,3085,17.6,76,American,amc hornet
29,4,85,52,2035,22.2,76,American,chevrolet chevette
24.5,4,98,60,2164,22.1,76,American,chevrolet woody
20,6,225,100,3651,17.7,76,American,dodge aspen se
18,6,250,78,3574,21,76,American,ford granada ghia
18.5,6,250,110,3645,16.2,76,American,pontiac ventura sj
17.5,6,258,95,3193,17.8,76,American,amc pacer d/l
26.5,4,140,72,2565,13.6,76,American,ford pinto
13,8,318,150,3940,13.2,76,American,plymouth volare premier v8
16.5,8,350,180,4380,12.1,76,American,cadillac seville
13,8,350,145,4055,12,76,American,chevy c10
13,8,302,130,3870,15,76,American,ford f108
13,8,318,150,3755,14,76,American,dodge d100
30,4,111,80,2155,14.8,77,American,buick opel isuzu deluxe
25.5,4,122,96,2300,15.5,77,American,plymouth arrow gs
17.5,8,305,145,3880,12.5,77,American,chevrolet caprice classic
17,8,260,110,4060,19,77,American,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.7,77,American,dodge monaco brougham
15,8,302,130,4295,14.9,77,American,mercury cougar br
